Blog	four	looking	second	here	k	music	until	example	want	wrong	series	re	wasn	service	needed	project	came	net	best	country	asked	much	life	things	big	had	easy	possible	right	old	people	support	happy	back	time	team	along	love	working	such	years	course	didn	internet	million	open	future	note	take	ways	going	artist	where	many	photos	technology	being	around	world	favorite	other	image	her	am	having	original	number	tv	th	large	small	past	hours	pick	via	company	information	its	always	found	really	major	self	also	play	sometimes	set	see	available	last	whole	rules	recent	using	couple	d	continue	anything	into	link	line	posted	us	ago	results	try	video	let	great	makes	tools	next	process	high	books	could	david	system	lot	face	fact	should	move	means	stuff	edition	email	ve	off	less	web	five	become	does	doing	told	word	work	interview	order	office	then	them	they	network	another	john	do	away	com	hand	photo	thanks	night	security	comments	marketing	post	months	way	update	together	change	live	social	write	product	remember	still	non	now	january	year	space	shows	care	than	online	only	between	article	comes	actually	these	media	real	read	early	business	aren	start	trying	since	month	very	learned	family	put	site	history	help	soon	event	miss	latest	pretty	during	x	close	won	probably	both	else	look	used	game	run	within	doesn	youtube	go	facebook	click	started	control	links	software	him	times	data	man	need	based	she	state	problem	keep	well	page	twitter	home	north	he	piece	friends	amp	companies	likely	even	while	ever	never	give	amazing	before	personal	better	weeks	went	content	isn	user	seen	don	m	points	stop	bad	said	against	three	website	say	make	left	just	human	yes	yet	popular	down	digital	finally	did	making	sunday	may	maybe	talk	nbsp	group	interesting	rock	morning	after	thing	think	first	little	anyone	were	show	enough	get	nearly	behind	reading	across	according	those	different	pay	same	running	money	either	users	videos	film	again	important	u	public	search	two	share	needs	coming	through	good	everyone	house	hard	idea	done	least	believe	build	most	services	find	please	point	simple	understand	itself	yesterday	bit	google	often	decision	single	others	later	ll	day	including	almost	thought	add	works	buy	minutes	special	under	every	would	phone	me	end	over	writing	each	got	free	days	already	top	too	took	talking	though	watch	amazon	report	full	however	news	quickly	several	everything	christmas	why	check	no	posts	today	huge	name	turn	place	given	white	any	sure	written	review	outside	come	case	myself	events	week	without	when	seems	blog	there	program	far	sony	list	design	version	short	might	friday	feel	says	story	kind	nothing	part	his	wrote	art	use	recently	question	long	called	once	issues	app	few	something	united	six	instead	our	out	york	their	which	who	view	stories	gets	know	because	getting	own	apps	made	whether	book
Google Operating System	0	1	4	10	2	15	0	7	6	0	0	9	0	1	0	0	0	0	0	3	0	0	0	2	2	1	0	1	6	0	0	0	2	4	4	0	0	1	0	0	0	0	0	2	0	5	0	1	1	0	0	2	0	3	0	0	0	0	0	1	6	2	0	0	0	1	0	0	0	0	0	0	0	4	2	0	8	2	3	1	0	0	0	8	11	6	0	6	4	2	0	0	1	3	0	0	0	0	0	11	0	0	9	0	11	0	9	1	0	1	0	2	0	0	0	0	1	0	3	0	0	2	1	2	0	0	0	0	0	1	2	0	1	0	0	0	8	3	0	0	1	3	4	1	0	2	1	1	0	5	0	0	2	0	0	0	0	3	0	2	0	0	3	2	0	0	0	0	1	1	9	1	3	1	31	1	3	1	12	1	1	0	1	1	1	0	2	0	0	2	0	0	1	0	0	0	0	0	3	0	3	0	0	0	0	0	0	2	2	0	0	1	0	0	2	0	0	0	3	27	6	0	11	0	0	13	0	0	1	4	0	0	2	0	0	0	1	0	16	0	0	0	0	0	0	4	0	1	5	5	0	0	0	0	1	1	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	1	5	0	4	0	0	1	2	0	0	0	4	0	0	2	0	0	4	0	0	0	0	0	0	0	6	0	0	0	4	0	1	0	0	1	0	0	0	7	0	4	0	0	1	1	5	0	1	1	0	1	39	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	5	10	1	0	2	0	0	0	0	117	0	0	1	0	0	2	0	3	1	0	12	6	2	0	3	0	0	1	0	2	0	3	0	3	0	0	0	3	6	0	0	0	0	0	0	1	2	0	13	2	0	0	6	2	2	1	2	0	0	4	0	1	0	0	1	2	1	0	0	0	0	0	0	0	0	22	2	2	8	0	0	0	9	0	3	1	1	0	0	1	0	0	0	0	1	1	0	11	2	1	1	4	0	0	8	2	1	0	0	0	0	0	1	1	6	0	0	0	0	4	2	0	1	4	0	1	1
Mashable	0	3	5	2	0	0	2	1	2	1	0	6	0	4	1	0	1	0	4	2	0	5	3	2	2	3	0	0	0	0	11	0	1	3	7	2	0	1	4	1	5	0	1	0	4	1	1	0	1	0	3	0	2	0	1	2	0	4	25	2	3	1	4	1	1	0	0	2	0	3	0	2	3	1	0	1	2	11	1	4	1	2	1	26	1	0	1	28	1	2	0	2	0	1	1	5	1	0	3	0	0	3	16	2	0	0	6	0	4	0	0	0	0	2	5	1	0	0	3	1	0	1	0	3	0	0	0	1	9	1	0	0	1	0	1	0	1	1	1	1	0	3	1	1	1	4	3	6	1	6	1	7	0	3	0	1	0	4	0	1	1	0	2	1	9	0	1	0	2	0	1	7	21	0	1	0	9	7	2	1	0	0	5	0	10	2	32	0	2	0	1	0	4	2	0	0	2	1	3	1	5	0	1	2	2	2	3	1	0	1	0	1	0	2	0	3	2	0	0	1	0	7	0	2	2	0	4	0	1	2	0	1	2	1	4	0	3	6	2	4	1	5	9	0	1	0	1	2	5	0	1	0	0	0	1	0	1	1	2	0	0	0	0	3	7	0	0	4	14	1	0	2	1	3	0	6	0	1	3	0	3	2	1	1	1	9	2	0	1	0	3	0	1	2	11	0	4	6	1	0	9	14	0	4	0	1	1	6	3	2	1	0	0	2	0	0	2	0	4	2	1	5	3	12	9	0	0	0	4	2	0	0	0	0	0	3	0	0	3	2	2	0	0	0	0	0	0	1	1	1	1	0	1	3	2	5	3	1	1	0	0	0	0	0	4	2	4	3	1	0	5	0	3	0	1	3	0	4	2	1	0	3	0	1	0	1	0	3	2	2	1	3	1	3	4	0	0	2	1	0	1	0	1	4	2	0	1	0	1	1	1	1	13	0	5	1	0	6	0	3	4	4	0	0	0	3	5	3	2	1	0	0	1	15	2	0	1	0	0	0	4	0	0	3	3	2	3	3	0	4	12	3	14	7	4	1	0	0	1	0	1	2	12	3	0	1
Gizmodo	0	4	0	1	0	3	0	0	1	0	0	6	0	1	0	0	0	0	2	1	0	1	0	1	1	1	0	0	2	1	0	0	1	1	5	0	0	0	0	1	1	1	2	5	0	1	0	0	0	1	1	0	0	2	2	0	0	3	2	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1	0	7	0	0	0	0	1	2	0	0	0	1	0	1	2	0	0	0	0	0	0	0	3	0	0	0	3	2	0	0	1	1	0	2	0	0	0	0	0	4	0	1	1	0	1	0	0	1	1	0	0	0	4	0	0	0	2	1	0	0	0	0	0	0	0	0	3	2	0	0	0	3	1	0	0	0	1	0	1	0	0	0	2	2	1	0	2	2	1	0	0	0	2	1	5	1	5	3	0	0	1	0	1	0	0	0	0	0	0	1	20	0	0	0	0	4	2	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	3	1	0	0	2	1	1	0	0	2	2	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	3	4	1	1	0	0	0	0	2	0	0	0	2	0	0	3	2	0	0	1	0	0	0	2	1	6	0	5	0	0	0	0	4	0	0	1	0	0	0	0	1	0	1	0	0	0	1	2	1	3	3	0	1	0	1	2	0	0	0	0	0	0	0	0	1	1	0	1	3	2	1	0	0	0	0	2	1	1	0	2	0	2	0	1	1	0	0	0	0	0	0	0	2	1	1	0	0	0	2	1	0	0	0	1	0	0	2	0	1	0	0	0	1	1	0	0	0	0	1	1	0	1	1	0	0	1	1	0	1	0	0	1	0	0	3	0	0	0	1	1	0	0	0	2	0	0	2	0	2	1	0	0	1	0	0	3	0	0	0	0	1	1	0	0	0	1	4	0	0	3	0	0	2	1	0	1	0	3	0	0	0	0	0	0	1	0	0	1	2	1	0	1	1	0	0	0	1	2	0	0	0	1	2	0	3	1	2	1	0	0	0	1	1	0	0	0	0	0
2e6782d3ee48fc81cfd7c6e44bf5bf10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bloggers Blog	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	15	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	15	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	4	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SimpleBits	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	3	0	0	1	0	1	0	2	0	0	1	0	0	0	1	1	1	1	1	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	3	1	0	9	1	1	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	2	1	1	0	1	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	1	0	2	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	0	1	1	0	0	0	0	0	1	0	1	0	1	1	0	0	1	1	0	0	1	3	1	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	2	0	2	0	8
9a69ea148125d95ac0c658fe00e9ed25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ShoeMoney	0	0	0	12	0	0	0	0	2	1	0	0	0	0	0	0	0	0	3	1	0	2	2	1	0	2	3	0	2	0	1	0	1	0	1	0	1	1	1	0	4	1	0	6	1	1	0	0	0	0	1	0	3	1	0	0	1	0	2	0	1	0	0	1	0	0	0	0	2	1	0	0	0	0	2	12	0	1	2	0	2	1	0	4	2	1	0	7	0	1	0	2	0	1	0	0	0	0	2	0	1	0	1	1	0	0	0	2	1	2	0	4	0	0	5	1	0	0	4	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	2	0	2	1	0	0	0	1	7	5	0	1	4	3	0	2	0	0	3	0	0	0	10	0	0	2	0	0	0	3	0	0	0	1	2	0	2	2	4	0	1	0	1	6	1	0	0	1	0	0	0	0	21	0	3	0	0	0	2	1	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	2	4	1	0	2	0	6	0	0	0	3	0	3	0	0	0	3	0	0	0	2	1	1	0	0	0	1	1	12	0	0	0	0	0	0	3	1	5	0	4	0	0	0	0	2	0	0	2	0	0	1	0	1	0	0	0	0	0	1	0	1	3	0	0	0	12	0	2	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	2	0	0	0	1	2	0	0	0	0	3	0	0	0	0	1	1	6	0	1	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	0	0	1	1	4	1	0	5	1	2	0	2	1	1	2	17	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	4	2	3	10	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	7	0	0	0	1	0	0	0	0	1	1	0	0	1	12	0	0	1	1	1	2	4	0	0	1	0	0	0	0	1	0	1	1	0	0	0	1	5	7	0	4	2	2	0	1	0	2	2	1	0	0	1	0	4
Slashdot	1	2	1	1	0	0	1	3	0	1	1	0	0	5	1	2	0	2	1	1	2	4	1	5	3	3	1	1	0	0	6	1	1	2	5	0	2	0	0	1	8	1	1	3	0	6	0	0	5	1	0	0	4	1	0	2	6	3	6	0	9	0	1	0	2	0	1	0	0	0	2	1	1	1	0	4	2	7	1	3	0	1	0	6	0	0	1	4	5	1	1	2	1	3	0	7	0	3	3	0	1	1	5	1	0	0	1	5	4	3	3	3	1	1	0	3	0	0	2	0	1	1	0	1	0	0	0	4	3	0	1	3	1	5	0	1	0	3	0	2	1	0	6	8	0	4	0	4	1	1	1	0	0	1	0	0	0	3	1	2	0	0	2	2	0	0	1	0	2	1	11	1	4	1	0	0	2	2	7	0	6	1	2	3	1	4	20	0	0	4	0	2	0	2	2	1	0	0	0	1	1	0	0	0	2	1	0	0	3	1	0	2	1	1	2	0	1	2	1	0	3	0	0	2	0	0	3	1	1	2	0	1	1	1	0	1	2	3	0	0	1	0	2	0	0	0	1	2	4	1	2	0	0	1	3	2	0	2	0	2	2	0	2	3	5	2	0	1	2	4	1	1	0	2	1	3	2	1	3	1	4	1	1	1	2	0	2	0	0	0	3	1	0	1	4	0	2	5	0	1	4	1	1	4	0	1	0	3	0	0	4	1	0	2	0	0	2	0	0	0	0	6	1	1	0	1	1	1	2	1	3	2	1	0	2	2	2	0	2	0	0	0	2	0	0	3	0	0	3	2	3	3	1	2	0	3	1	1	0	0	1	0	1	0	0	2	6	4	4	1	4	0	2	1	2	1	0	2	2	1	0	3	0	5	3	0	0	0	0	6	2	2	6	0	4	0	2	0	0	0	1	2	2	6	0	1	2	0	0	4	0	0	0	1	7	2	0	4	3	3	0	0	0	1	0	2	1	0	2	20	0	0	1	2	1	0	13	2	1	1	1	2	2	4	3	3	2	1	2	4	8	1	7	9	4	1	1	2	1	3	1	2	3	0	2	0
6d03f5cf3a12ee09e9a4cc92779df01f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gothamist	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	4	0	0	0	9	0	0	0	1	1	0	1	0	0	1	1	1	1	0	2	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	2	0	1	0	0	0	1	0	0	0	2	0	0	0	0	1	0	2	1	2	0	2	1	0	3	1	0	3	1	0	0	0	0	0	0	0	7	0	0	0	2	2	0	0	4	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	2	0	15	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	3	2	1	1	0	1	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	1	1	1	0	1	0	1	2	0	1	0	2	0	1	3	0	6	0	0	4	0	0	0	0	0	3	3	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	4	1	0	0	0	1	0	1	0	2	2	0	7	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0	0	0	2	6	0	0	2	0	0	4	0	0	2	2	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	1	0	0	1	1	0	0	3	1	0	0	0	0	0	0	2	0	0	0	0	3	0	0	1	1	2	0	0	1	0	0	1	1	0	1	0	1	2	0	0	0	0	0	0	0	2	1	0	0	0	7	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	1	0	1	0	0	4	0	0	0	0	0	5	0	5	1	12	0	2	0	1	2	0	0	0	1	0	0
BuzzMachine	0	0	3	2	0	0	0	0	1	0	0	1	0	3	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	3	0	1	2	0	2	0	1	0	0	1	0	3	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	3	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	1	4	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	2	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	4	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	1	2	0	2	0	0	1	4	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	2	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	3	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	3	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	4	1	0	0	0	1	0	0	0	0	1	2	0	0	1	1	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	4	1	0	0	0	1	2	1	1	0	0	0	1	0	0	0	0	0	0	0	5	1	0	0	0	0	0	1	0	1	0	0	0	6
162c67c6678961ad601500bee934c43d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
